fecha,codigo_clima,temperatura_max,temperatura_min,precipitacion_mm,lluvia_mm,viento_max_kmh,ciudad,estado,latitud,longitud
2026-07-25,51.0,23.2,10.6,0.6,0.3,17.0,Toluca,Estado de México,19.28786,-99.65324
2026-07-26,80.0,21.2,9.2,4.4,2.5,16.5,Toluca,Estado de México,19.28786,-99.65324
2026-07-27,53.0,18.3,10.0,1.7,1.5,16.1,Toluca,Estado de México,19.28786,-99.65324
2026-07-28,81.0,17.7,10.0,8.0,4.1,8.5,Toluca,Estado de México,19.28786,-99.65324
2026-07-29,80.0,18.1,8.9,6.3,2.4,11.2,Toluca,Estado de México,19.28786,-99.65324
2026-07-30,53.0,19.2,9.1,3.5,3.2,11.7,Toluca,Estado de México,19.28786,-99.65324
2026-07-31,51.0,19.8,9.7,2.4,2.4,8.6,Toluca,Estado de México,19.28786,-99.65324
2026-08-01,51.0,20.5,8.7,1.7,0.6,8.3,Toluca,Estado de México,19.28786,-99.65324
2026-08-02,51.0,19.4,10.7,2.6,1.9,10.4,Toluca,Estado de México,19.28786,-99.65324
2026-08-03,51.0,19.5,9.8,1.2,0.6,14.7,Toluca,Estado de México,19.28786,-99.65324
2026-08-04,51.0,19.7,9.1,2.4,1.8,15.0,Toluca,Estado de México,19.28786,-99.65324
2026-08-05,51.0,19.3,9.1,2.3,2.3,9.4,Toluca,Estado de México,19.28786,-99.65324
2026-08-06,53.0,19.2,9.7,4.1,3.5,10.9,Toluca,Estado de México,19.28786,-99.65324
2026-08-07,51.0,18.3,9.0,3.1,2.5,16.2,Toluca,Estado de México,19.28786,-99.65324
2026-08-08,51.0,19.7,8.1,0.6,0.6,11.6,Toluca,Estado de México,19.28786,-99.65324
2026-08-09,53.0,19.8,8.1,6.4,1.1,10.2,Toluca,Estado de México,19.28786,-99.65324
2026-07-25,81.0,27.3,14.8,7.9,2.4,14.5,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-26,95.0,24.5,13.2,8.9,2.0,11.9,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-27,95.0,21.8,13.6,8.9,2.0,7.8,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-28,95.0,21.9,12.9,14.9,3.1,8.5,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-29,80.0,21.3,12.3,9.3,2.1,6.6,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-30,53.0,23.2,12.1,4.7,1.4,5.5,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-31,51.0,23.2,13.2,1.5,1.2,2.5,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-01,53.0,23.4,12.5,7.4,2.2,3.8,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-02,53.0,22.6,13.1,4.2,1.9,10.6,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-03,53.0,22.7,12.4,2.7,1.3,6.7,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-04,53.0,22.0,12.7,8.5,3.4,4.0,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-05,55.0,21.5,12.8,10.8,2.5,6.2,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-06,80.0,21.3,13.7,14.9,4.3,3.8,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-07,95.0,20.9,12.7,8.5,1.2,3.7,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-08,51.0,22.2,12.0,1.3,0.7,11.4,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-08-09,53.0,25.0,13.4,3.1,0.0,13.5,Ciudad de México,Ciudad de México,19.42847,-99.12766
2026-07-25,95.0,28.3,17.1,11.3,1.9,10.6,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-26,51.0,28.3,16.5,0.4,0.4,10.8,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-27,95.0,28.2,17.9,10.2,1.7,13.9,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-28,53.0,27.2,17.3,2.7,1.3,12.0,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-29,51.0,25.8,17.4,2.5,1.9,11.5,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-30,51.0,27.2,16.6,1.2,0.6,6.9,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-31,53.0,24.9,17.5,4.1,1.1,14.8,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-01,51.0,26.6,16.4,0.7,0.1,9.4,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-02,51.0,26.5,18.4,0.6,0.0,7.8,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-03,95.0,24.3,17.9,8.6,2.7,5.9,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-04,95.0,21.5,16.3,12.9,3.8,5.2,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-05,53.0,24.2,15.7,5.3,1.6,10.7,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-06,55.0,23.1,15.1,12.5,4.4,6.3,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-07,53.0,22.7,15.9,8.6,5.1,6.5,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-08,53.0,22.1,16.1,4.8,2.7,5.9,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-08-09,95.0,26.3,15.9,11.4,5.8,8.7,Guadalajara,Estado de Jalisco,20.67738,-103.34749
2026-07-25,3.0,36.6,23.6,0.0,0.0,22.8,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-26,1.0,35.5,23.4,0.0,0.0,23.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-27,3.0,37.9,23.0,0.0,0.0,24.5,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-28,3.0,39.3,23.5,0.0,0.0,27.3,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-29,0.0,39.4,23.9,0.0,0.0,30.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-30,0.0,39.1,24.1,0.0,0.0,31.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-31,2.0,39.4,23.8,0.0,0.0,28.2,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-01,3.0,38.6,24.6,0.0,0.0,28.5,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-02,2.0,39.9,25.7,0.0,0.0,24.3,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-03,3.0,37.4,25.1,0.0,0.0,32.9,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-04,3.0,36.6,24.1,0.0,0.0,31.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-05,53.0,34.3,23.9,2.7,0.0,17.6,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-06,61.0,27.9,22.1,9.6,9.3,10.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-07,3.0,34.4,23.1,0.0,0.0,24.5,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-08,1.0,36.9,23.3,0.0,0.0,30.0,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-08-09,0.0,38.3,23.3,0.0,0.0,28.7,Monterrey,Estado de Nuevo León,25.68435,-100.31721
2026-07-26,53.0,31.3,24.0,1.4,0.3,12.2,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-07-27,95.0,31.1,24.2,2.8,0.4,11.4,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-07-28,51.0,31.2,23.5,0.5,0.1,10.5,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-07-29,51.0,31.9,24.5,0.3,0.0,15.9,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-07-30,1.0,32.3,25.7,0.0,0.0,14.8,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-07-31,51.0,32.1,25.7,1.2,0.6,15.6,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-01,2.0,32.1,25.6,0.0,0.0,13.7,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-02,51.0,32.2,25.9,1.2,0.0,17.2,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-03,51.0,31.8,25.8,1.6,1.0,14.6,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-04,95.0,28.8,24.9,5.6,1.4,11.1,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-05,95.0,31.6,23.8,6.0,1.2,12.9,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-06,3.0,31.3,24.2,0.0,0.0,11.1,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-07,95.0,31.7,24.5,2.4,0.0,12.4,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-08,1.0,31.8,25.3,0.0,0.0,13.3,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-09,3.0,34.5,24.5,0.0,0.0,17.0,Cancún,Estado de Quintana Roo,21.17429,-86.84656
2026-08-10,,,,,,,Cancún,Estado de Quintana Roo,21.17429,-86.84656
