date,playeras,camisetas,blusas,camisas,polos,sudaderas,hoodies,chamarras,abrigos,suéteres,jeans,pantalones,pantalones cargo,shorts,joggers,vestidos,faldas,leggins,tenis,botas,bolsas,gorras,streetwear,oversize,ropa vintage
2025-07-20,48,8,15,31,6,29,2,32,5,2,51,66,3,26,1,17,2,1,71,25,72,42,2,6,0
2025-07-27,50,8,15,30,6,26,3,34,5,3,55,69,3,25,1,16,2,1,74,33,69,40,1,6,0
2025-08-03,49,8,15,30,7,27,3,32,5,2,56,67,4,27,1,16,2,1,72,28,68,37,1,6,0
2025-08-10,48,8,14,30,6,27,4,29,4,2,53,64,3,27,2,15,2,1,73,27,63,38,1,6,0
2025-08-17,49,9,15,31,7,26,4,29,5,2,50,63,3,25,1,14,2,1,72,27,66,37,1,6,0
2025-08-24,47,9,15,29,7,28,3,31,6,3,49,61,3,24,1,14,2,1,74,27,63,36,1,5,0
2025-08-31,46,8,14,27,6,26,4,32,6,2,45,58,2,22,1,13,2,1,71,27,63,35,1,5,0
2025-09-07,45,7,16,28,7,29,3,29,6,3,41,53,2,20,1,15,2,1,59,23,59,33,1,5,0
2025-09-14,43,6,14,26,6,27,3,31,6,2,40,52,2,22,1,15,2,1,56,22,54,35,1,5,0
2025-09-21,43,7,13,27,7,28,3,31,7,3,41,52,2,22,1,15,2,1,55,21,60,32,1,5,0
2025-09-28,41,7,13,26,6,32,4,37,7,4,41,53,2,20,1,16,2,1,59,23,60,33,1,4,0
2025-10-05,41,7,13,26,7,34,5,45,9,4,45,53,3,20,1,17,2,1,61,26,60,34,1,5,0
2025-10-12,45,7,14,27,7,36,4,47,9,3,47,55,2,22,1,17,2,1,59,26,68,37,1,5,1
2025-10-19,43,7,14,29,7,35,4,41,9,4,47,58,2,23,1,19,2,1,61,25,71,41,1,5,0
2025-10-26,43,7,12,29,7,38,5,47,8,4,48,61,3,24,1,17,2,1,57,26,68,38,1,5,1
2025-11-02,45,7,13,28,7,50,6,67,13,7,49,56,3,23,2,16,2,1,62,27,66,37,2,5,0
2025-11-09,47,8,15,30,7,74,9,100,26,9,55,67,3,25,1,19,3,2,83,34,72,58,2,6,0
2025-11-16,44,7,16,31,6,66,9,79,19,8,57,72,3,27,3,19,2,2,85,34,79,47,2,6,0
2025-11-23,48,7,14,30,7,68,9,77,18,10,56,69,2,27,2,18,3,2,72,33,82,45,2,7,1
2025-11-30,46,8,15,33,7,79,11,84,19,14,59,70,3,27,2,18,3,2,75,36,82,49,3,7,0
2025-12-07,48,7,16,36,6,86,11,84,21,13,63,76,4,29,2,18,3,2,83,43,92,55,2,7,0
2025-12-14,52,8,18,38,6,87,9,98,24,14,67,90,4,28,2,15,3,2,92,44,100,59,2,6,0
2025-12-21,53,7,16,41,5,81,9,96,19,9,70,100,5,28,2,14,3,2,100,44,86,70,2,7,0
2025-12-28,39,6,12,29,5,54,8,69,16,6,76,82,3,29,2,13,2,2,81,35,68,53,2,5,0
2026-01-04,43,6,11,27,5,47,7,49,9,4,63,68,2,25,1,16,2,2,71,24,73,52,2,6,0
2026-01-11,37,6,11,25,6,46,7,65,12,4,52,61,2,22,1,16,2,2,64,24,74,47,1,5,0
2026-01-18,43,6,10,24,7,47,6,54,12,4,52,58,2,24,1,17,2,1,66,24,64,46,2,5,0
2026-01-25,42,6,12,24,7,48,7,56,12,5,49,59,2,26,2,17,2,2,68,23,69,47,2,5,0
2026-02-01,43,7,11,26,7,48,9,50,10,4,52,59,2,27,1,17,2,2,65,23,71,48,2,5,0
2026-02-08,48,7,12,29,7,43,27,32,6,2,54,54,2,31,2,15,2,1,59,20,71,47,3,5,0
2026-02-15,42,6,13,29,7,27,17,27,5,2,57,57,2,34,2,16,2,1,62,17,66,46,3,5,0
2026-02-22,44,6,12,24,7,28,13,27,4,2,51,58,2,30,1,16,2,1,62,17,63,39,2,5,0
2026-03-01,47,7,15,28,7,29,5,24,3,2,45,56,2,31,1,18,2,1,60,18,66,40,2,4,0
2026-03-08,46,6,15,28,8,25,5,24,3,2,46,58,2,32,1,20,2,1,62,18,65,39,2,5,0
2026-03-15,43,6,14,26,7,27,5,26,4,2,48,57,2,35,1,18,2,1,61,18,65,40,2,5,0
2026-03-22,53,7,15,30,8,25,4,25,4,2,49,63,2,34,1,18,2,1,62,18,70,38,2,5,0
2026-03-29,50,7,14,29,6,31,5,28,4,2,54,63,2,38,1,18,2,1,67,19,62,41,2,6,1
2026-04-05,49,7,14,29,7,28,5,24,3,2,53,58,2,35,1,18,2,1,62,18,70,50,2,6,1
2026-04-12,52,7,15,29,8,26,4,22,4,3,46,58,2,33,1,18,2,1,64,19,76,41,2,5,0
2026-04-19,57,7,16,31,7,25,5,23,3,2,48,57,3,32,1,19,2,1,60,19,80,42,1,4,0
