termino,interes_promedio,interes_reciente,crecimiento_pct,tendencia
bolsas,69.52,70.75,4.04,Estable
pantalones,61.85,63.25,-4.89,Estable
tenis,66.52,63.0,-13.1,Descendente
playeras,50.2,53.5,9.74,Estable
jeans,51.15,50.0,-6.98,Estable
shorts,28.63,31.75,20.95,Creciente
camisas,29.98,31.5,4.13,Estable
gorras,40.35,30.0,-23.57,Descendente
chamarras,39.96,24.25,-23.62,Descendente
sudaderas,36.48,24.0,-11.93,Descendente
botas,24.2,20.5,-27.43,Descendente
vestidos,16.78,16.0,0.0,Estable
blusas,14.11,14.25,-3.39,Estable
camisetas,7.43,7.75,-3.12,Estable
polos,6.7,6.25,0.0,Estable
oversize,5.3,5.0,-16.67,Descendente
abrigos,7.7,4.5,-5.26,Estable
hoodies,6.02,3.25,8.33,Estable
suéteres,3.81,2.25,0.0,Estable
faldas,2.11,2.0,0.0,Estable
pantalones cargo,2.39,2.0,-38.46,Descendente
joggers,1.26,1.25,0.0,Estable
leggins,1.22,1.0,0.0,Estable
streetwear,1.59,1.0,-20.0,Descendente
ropa vintage,0.11,0.0,0.0,Estable
