categoria_normalizada,registros,mae,error_maximo,error_mediano
zuecos,10,3.9469,7.4496,3.3179
blusas,10,2.2765,6.4924,1.2749
shorts,5,1.6991,4.3979,1.8089
faldas,5,1.4359,2.3028,1.1781
sueteres,5,1.2753,2.0996,1.165
botas,20,0.9932,4.0016,0.5037
sandalias,90,0.9716,7.9736,0.3033
jeans,30,0.8067,3.0015,0.5516
ropa_interior,10,0.7643,0.9518,0.7142
camisetas,5,0.4981,0.8121,0.727
mocasines,150,0.4892,6.5168,0.0976
tenis,205,0.3869,3.5845,0.1546
pantalones,15,0.3008,1.3884,0.1629
joggers,5,0.2737,0.484,0.2549
playeras,160,0.2281,5.8251,0.0212
camisas,25,0.2125,0.6769,0.1836
vestidos,20,0.1128,0.3878,0.1001
