marca_normalizada,registros,mae,error_maximo,error_mediano
Only & Sons,5,7.0819,7.4496,7.4192
Tommy Hilfiger,10,2.0175,3.3838,2.0288
AllSaints,20,1.6999,5.8251,0.9274
HUGO,20,1.6912,4.65,1.2792
Reebok,5,1.5054,1.5554,1.525
Jack & Jones,15,1.4851,3.5845,1.0708
Calvin Klein,35,0.9104,3.1045,0.5543
River Island,5,0.7101,1.2254,0.5478
Nike,70,0.6968,7.9736,0.1692
Schuh,15,0.5764,1.6569,0.0679
Tommy Jeans,5,0.5399,1.2351,0.452
Steve Madden,5,0.5068,0.9266,0.4536
SEQWL,10,0.3962,1.1919,0.3348
H&M,280,0.3956,6.5168,0.0573
Adidas,35,0.3423,1.4323,0.1923
Havaianas,5,0.2981,0.8299,0.2015
New Balance,5,0.2677,0.6396,0.1546
Noak,30,0.2568,0.8226,0.1732
ASOS DESIGN,130,0.2422,4.0016,0.0915
Mango,10,0.24,0.6853,0.1821
Pompeii Uk,5,0.1453,0.2386,0.1433
Ps Paul Smith,5,0.1353,0.284,0.1099
Keen,15,0.1215,0.2996,0.128
Walk London,20,0.1192,0.2278,0.1317
Mizuno,5,0.0712,0.1578,0.0474
Boss Bodywear,5,0.0369,0.0964,0.0333
