variable,importancia_promedio,desviacion_estandar
interes_reciente,9.522935,0.147716
precio_actual,4.767292,0.175392
temperatura_max_promedio,2.00417,0.129719
marca_normalizada,1.785305,0.051952
interes_promedio,0.943645,0.030598
categoria_detectada,0.849542,0.030973
tendencia,0.817627,0.058517
crecimiento_pct,0.577377,0.028375
precipitacion_acumulada,0.267793,0.018879
categoria_general,0.133736,0.005996
precio_minimo,0.108013,0.00475
lluvia_acumulada,0.078502,0.010608
cantidad_tallas,0.016509,0.00297
fuente,0.016261,0.002827
color_normalizado,0.016191,0.003008
es_nuevo,0.015716,0.002255
en_descuento,0.005281,0.001126
viento_max_promedio,0.002879,0.000497
precio_anterior,0.00153,0.00026
temperatura_min_promedio,0.000926,0.000932
fecha_inicio,0.000259,0.000356
venta_rapida,0.000166,0.00024
ciudad,4.3e-05,9.4e-05
numero_semana,0.0,0.0
disponibilidad,0.0,0.0
en_linea,0.0,0.0
moneda,0.0,0.0
precio_maximo,0.0,0.0
promocion,0.0,0.0
proximamente,0.0,0.0
estado,0.0,0.0
mes,0.0,0.0
anio,0.0,0.0
fecha_referencia,0.0,0.0
categoria_normalizada,0.0,0.0
tiene_tendencia,0.0,0.0
stock_total_api,0.0,0.0
trimestre,0.0,0.0
estacion,0.0,0.0
tiene_datos_trends,0.0,0.0
temporada_calor,0.0,0.0
temporada_fria,0.0,0.0
fecha_fin,0.0,0.0
temporada_lluvias,0.0,0.0
temperatura_media,0.0,0.0
color,-0.000975,0.002226
